L-BFGS_200	8.338116e-03	2.405449e-06	6.319696e-04	3.555750e-04
L-BFGS_0	2.587384e-03	1.149957e-05	1.166315e-05	1.320795e-03
L-BFGS_100	4.031466e-04	4.156147e-07	9.805727e-07	3.517794e-04
L-BFGS_200	1.344838e-04	3.658942e-07	8.971301e-07	8.892304e-05
L-BFGS_300	4.575951e-05	7.487091e-08	1.727360e-07	3.654505e-05
L-BFGS_400	2.288610e-05	3.746761e-08	1.724009e-07	1.741533e-05
L-BFGS_500	1.030318e-05	2.556198e-08	1.486869e-07	6.260109e-06
L-BFGS_0	2.441593e-03	1.121009e-05	9.905807e-06	1.221525e-03
L-BFGS_100	4.604620e-04	7.855502e-07	2.816703e-07	3.790903e-04
L-BFGS_200	1.382610e-04	2.730503e-07	1.060214e-06	1.003538e-04
L-BFGS_0	2.596073e-03	1.160536e-05	1.050674e-05	1.330470e-03
L-BFGS_100	3.848837e-04	5.114297e-07	1.067621e-06	3.230645e-04
L-BFGS_200	1.326187e-04	4.105851e-07	1.149061e-06	8.006961e-05
L-BFGS_300	5.088854e-05	9.909490e-08	1.926958e-07	3.905209e-05
L-BFGS_400	2.291369e-05	4.974240e-08	1.349463e-07	1.658999e-05
L-BFGS_500	1.250845e-05	2.993393e-08	1.093268e-07	8.421787e-06
L-BFGS_0	2.471810e-03	1.094581e-05	1.083269e-05	1.268902e-03
L-BFGS_100	3.837035e-04	5.010598e-07	1.148022e-06	3.221173e-04
